,PV_capacities,Wind_Capacities
0,5.123197937108916,28.888712209552992
1,0.5767219472506304,63.69635508800157
2,1.3978412594671921e-05,108.60326638778707
3,5.453973758263967e-07,33.200582626615265
4,1.035270405550323e-07,5.2298338916505416e-08
5,1.2894421202066768e-07,1.0545964411728958e-07
6,1.9384159878439732e-07,44.612353182103895
7,8.935690474872079e-08,31.474694041975454
8,2.4721907167204725e-07,14.09400628487338
9,1.3090566338583845e-07,144.1844081850409
10,6.069735710299511e-07,35.47138379255077
11,27.693227271616884,13.954503704150824
