,PV_capacities,Wind_Capacities
0,1.0774441901959863e-14,54.35035834443896
1,9.677979184726517e-15,20.635127996061915
2,9.39478133105322e-15,70.20653944400603
3,1.6242232288829771e-15,23.49031857352309
4,3.9613483399591423e-16,65.13377558160681
5,0.0,4.101956535253161
6,2.3132236864498226e-14,26.769707138721383
7,3.916515314808845e-15,2.08157703325958e-14
8,1.0149958741017043e-14,4.6764301392691285
9,0.0,5.709959410053224
10,1.4504944727367252e-14,80.0542315294966
11,38.67367704854832,12.699442134356662
