,PV_capacities,Wind_Capacities
0,2.277000680675198e-13,112.71256202781711
1,7.588180339676075e-13,34.449431781502305
2,3.587693184359788e-13,127.48633022767055
3,2.2145487208431208e-13,38.43897579993749
4,1.7217096835506028e-13,226.05100783564575
5,0.0,33.660553593067846
6,3.3408599350008887e-13,57.356406144211334
7,2.4914106865942367e-13,1.6546487985559637e-12
8,5.526361102046113e-13,4.722341221547212e-11
9,0.0,14.160439048444152
10,5.887969147636667e-13,112.97916913901838
11,75.84744732962962,66.13034671767713
