,PV_capacities,Wind_Capacities
0,2.561652555651208,14.444356829759961
1,0.2882998761498973,31.848175725394015
2,6.622104507955201e-06,54.30163129123895
3,4.914754201662651e-07,16.600290467989357
4,5.961343068933005e-08,2.672290624289731e-08
5,6.322666470156008e-08,5.237421696179379e-08
6,1.146759471956827e-07,22.306176698013427
7,5.4184162936268056e-08,15.737346413167712
8,1.306488912962601e-07,7.047006026752936
9,7.484713397966257e-08,72.09220877587174
10,4.5589948746444166e-07,17.735690314471025
11,13.846618748884495,6.977250899658616
