,Demand,Unmet_load,Overgeneration,Wind,PV,Fraction Unmet,Fraction Curtailed,Reliability
0,24.644666915000002,0.0,7.159758596682021,31.804425511686127,0.0,0.0,0.2905195927936939,1.0
1,23.89572017399999,0.0,4.594314024950318,28.490034198954245,0.0,0.0,0.19226514168630138,1.0
2,23.17387627300001,0.0,5.278641519257011,28.45251779226082,0.0,0.0,0.22778414181002515,1.0
3,22.512223732,0.0,9.060916798560736,31.5731405305644,0.0,0.0,0.40248875039746057,1.0
4,21.97152761499999,0.0,15.309880312555915,37.281407927559506,0.0,0.0,0.6968054557164173,1.0
5,21.69780445000001,0.0,17.6459953879985,39.34379983800204,0.0,0.0,0.8132617946973197,1.0
6,21.531560212,0.0,18.480166874190534,39.74849648336586,0.2632306028281954,0.0,0.8582827576002199,1.0
7,20.970094594999996,0.0,20.80889467948494,35.321467703819245,6.457521570670161,0.0,0.99231286655457,1.0
8,20.879703734,0.0,31.970856731546608,40.97845154846909,11.872108917083636,0.0,1.5311930254779451,1.0
9,21.393137879000008,0.0,38.491502472307644,44.503940435548174,15.380699915767018,0.0,1.799245285568499,1.0
10,22.03263251799999,0.0,39.41749977750713,44.02567657628977,17.4244557192259,0.0,1.7890508428942495,1.0
11,22.559263456999982,0.0,47.38741771774562,51.53728446380332,18.409396710951498,0.0,2.1005746844559163,1.0
12,22.784304332999998,0.0,45.67170871158389,50.2028444782209,18.253168566372413,0.0,2.004525046895312,1.0
13,23.032120198999998,0.0,42.935346883375786,48.991646010282615,16.975821072102395,0.0,1.864150868978182,1.0
14,22.933256569,0.0,41.85116276368403,50.30580352124722,14.478615811445394,0.0,1.824911461560862,1.0
15,23.119215511,0.0,40.79953079426599,53.32570996870161,10.593036336572114,0.0,1.764745467892446,1.0
16,23.413278482999992,0.0,35.751904527454414,54.22919675893805,4.9359862515228485,0.0,1.5269926658675035,1.0
17,24.071908039999997,0.0,35.714778542479806,59.730346911952836,0.056339670531741715,0.0,1.4836704461953325,1.0
18,26.925906633,0.0,38.34848106718955,65.27438770015642,3.780629795608263e-11,0.0,1.4242224631422518,1.0
19,28.521820632999994,0.0,40.693688457597915,69.2155090906029,0.0,0.0,1.4267563414417859,1.0
20,28.627828073000003,0.0,40.16426617874774,68.79209425175273,0.0,0.0,1.402979858490494,1.0
21,28.141063136,0.0,34.28302206993827,62.42408520594308,0.0,0.0,1.2182561086713548,1.0
22,26.957272412,0.0,26.817245488472334,53.77451790047693,0.0,0.0,0.9948055974882187,1.0
23,25.579454517,0.0,24.97624904905415,50.55570356605847,0.0,0.0,0.9764183607768117,1.0
24,24.124696789000005,0.0,23.48289724752731,47.60759403653134,0.0,0.0,0.9733965758373662,1.0
25,23.34558487,0.0,21.646942693300023,44.99252756330389,0.0,0.0,0.9272392537535952,1.0
26,22.810293866000006,0.0,22.884479839348796,45.694773705352574,0.0,0.0,1.0032523023940243,1.0
27,22.560329036,0.0,29.44577227670597,52.006101312709696,0.0,0.0,1.305201366066901,1.0
28,22.828597935,0.0,32.941925346946945,55.77052328195073,0.0,0.0,1.443011324687687,1.0
29,23.712565103000003,0.0,37.30686783330485,61.019432936308846,0.0,0.0,1.5732953255480977,1.0
30,25.42198889399999,0.0,33.21008175409234,58.36884004526848,0.2632306028281954,0.0,1.3063526183008627,1.0
31,27.18627425,0.0,30.92009655672617,51.54048120099488,6.565889605737091,0.0,1.13734218497138,1.0
32,28.847284276999996,0.0,35.629498211478705,52.652245693937054,11.824536794549505,0.0,1.2351075362711414,1.0
33,30.610404208999984,0.0,38.756977211229966,54.00292160124187,15.36445981899763,0.0,1.2661373873604305,1.0
34,31.78055203199998,0.0,37.616375637250044,51.981310077337795,17.41561759192283,0.0,1.183628767661869,1.0
35,32.538351367000004,0.0,46.677067797238166,61.145497573278135,18.069921590971266,0.0,1.4345246712338804,1.0
36,32.88932921799999,0.0,51.90197687195935,66.87883422769846,17.91247186227239,0.0,1.578079520197509,1.0
37,32.9403948,0.0,53.472133890530884,69.95935913588146,16.45316955466072,0.0,1.6232997271341412,1.0
38,32.862870979,0.0,53.65567384685825,73.36290802533942,13.155636800529532,0.0,1.6327141314325595,1.0
39,33.01577159,0.0,53.66789621499342,77.37056517927427,9.31310262572891,0.0,1.6255230040193471,1.0
40,33.27474732100002,0.0,49.35916295753712,78.82816949133978,3.805740787205766,0.0,1.4833820519017455,1.0
41,33.452416732,0.0,40.87062283951214,74.31096678448829,0.01207278703055471,0.0,1.2217539667445314,1.0
42,34.648200849999995,0.0,37.199420872742834,71.84762172267637,7.269087560819886e-11,0.0,1.073632106722876,1.0
43,35.462809051,0.0,34.64200157079581,70.1048106218022,0.0,0.0,0.9768544144649184,1.0
44,35.19203377400001,0.0,34.6529631246721,69.8449968986784,0.0,0.0,0.9846820262565735,1.0
45,34.177431347,0.0,38.850275076603054,73.02770642360913,0.0,0.0,1.1367230814440132,1.0
46,33.028788956999996,0.0,41.28595642122025,74.31474537822609,0.0,0.0,1.249999098512822,1.0
47,31.669164965000004,0.0,37.01338614026653,68.68255110527208,0.0,0.0,1.1687515657950829,1.0
48,29.813454913,0.0,31.768132816398523,61.581587729403715,0.0,0.0,1.065563615793693,1.0
49,28.53075086900002,0.0,27.8413426929289,56.37209356193382,0.0,0.0,0.9758363115209774,1.0
50,27.86812810600001,0.0,26.287927291684735,54.15605539768952,0.0,0.0,0.943297202872587,1.0
51,27.34996658100001,0.0,28.298005536701563,55.64797211770623,0.0,0.0,1.0346632582856665,1.0
