,MUL,BCS,TAM,OAX,Other wind
0,4.472415394715836,5.2648293983767545,2.904162679577507,13.54306048418351,7.087168288306817
1,4.407788308762408,5.5004836502190235,2.8936105326959582,13.486835162101814,6.860414375758834
2,4.451357784351173,5.61166564361767,2.900414426631165,13.51791051575821,6.749827892620952
3,4.497603088881303,5.390789373056756,2.906403482969342,13.465898800951956,6.557277793027314
4,4.529305844817053,4.997238837993573,2.923066911828622,13.416520590692858,6.368141975844248
5,4.505107043956004,4.649609144093255,2.93227457667507,13.365693952932826,6.209892648436198
6,4.4208766024973505,4.308822944880276,2.855924293833283,13.175949950310532,5.91740284342983
7,4.157074770995284,3.898014901475109,2.938834019331168,13.31565736653694,5.3474564612251845
8,3.8417923174691118,3.4818510796189805,3.4144139828382,15.057720624477941,5.33339833526222
9,3.503125445803174,2.815453386804079,3.944914000385108,15.704377666031098,5.306144585980454
10,3.5089424652409265,2.1593705265613985,4.061761711799327,15.723470573997949,5.303083999530642
11,3.393823650567809,1.7584805913987505,4.0069638833990044,15.758496184475069,5.500770481905728
12,3.407959007801547,1.6026671109087651,3.9942524168853235,15.929542304812587,5.8166501565192545
13,3.66547845831084,1.6207180679101512,4.141941731347157,16.215409223405928,6.292202894994405
14,4.0941927908731826,1.721188504406876,4.477451111924593,16.515233716099175,6.932455157603396
15,4.608359138976106,1.8526034386202626,4.935023164537244,16.69852563258095,7.602219509728541
16,5.135497440425217,1.9546607724357907,5.4155328955063124,16.63676995095024,8.115630357337354
17,5.602138739721704,1.996416008136799,5.725823052455644,16.054897121257017,8.503485902920497
18,6.111884153051936,2.084885533660075,5.625027641702935,15.151210035901833,9.15858470686709
19,6.727964681704281,2.3317472478163914,4.797885996956959,14.579476198715149,9.340645996897871
20,6.69858873354363,2.7502914156507248,3.9786482769021836,14.196432962331901,9.109228912585168
21,5.97820904637239,3.3821740917816574,3.4551966045695917,13.94387987626003,8.545990247818196
22,5.268067313411592,4.122362509920906,3.139528519479856,13.762431412961263,7.936205408990334
23,4.7420342456556535,4.789156927065508,2.9709386206541817,13.661699864032704,7.422037553761963
