,YUC,Other wind
0,23.701099394023853,0.0
1,21.376352744262224,0.0
2,19.812538694926136,0.0
3,19.222328152288373,0.0
4,19.46426569703906,0.0
5,19.9052163834395,0.0
6,18.026298193157967,0.0
7,21.147097409518633,0.0
8,34.3678135646045,0.0
9,44.22384184934717,0.0
10,44.55845708261122,0.0
11,42.162494945886685,0.0
12,40.129439126288176,0.0
13,39.92359710232691,0.0
14,42.638565598460616,0.0
15,47.047096907849124,0.0
16,48.56896210870021,0.0
17,49.197219281359246,0.0
18,56.43388342232937,0.0
19,55.77635961119242,0.0
20,47.78168953364455,0.0
21,38.95974914178789,0.0
22,32.54255087819913,0.0
23,27.431620245340884,0.0
