,SON,MUL,BCS,TAM,PUE,OAX,CHIA,YUC,Other wind
0,3.4702759251888886,4.230257184568785,6.402873983172681,3.6318358613627417,1.6472411107436755,3.948187068617725,3.4798611051352397,1.5155357583970106,1.277078633397086
1,3.1764090878230866,4.169129321759968,6.689467216110123,3.618639746100923,1.5462640859070915,3.931795789125836,3.560378692596125,1.3668828786991274,1.2558237621436026
2,3.027686222904535,4.210339735120728,6.824682289394159,3.6271484381809374,1.5513328705717582,3.9408551379784953,3.6356237632310484,1.2668868375091535,1.2235157996013688
3,2.9360552140758016,4.254081095096434,6.556061443539074,3.634638125221429,1.5883520844148373,3.9256922447717137,3.5840603359669743,1.229146597384428,1.1531221222523413
4,2.8828830973593136,4.2840673104256926,6.077441094929742,3.655476778279667,1.6720724603368802,3.911297092993122,3.47807381129593,1.2446169768074569,1.074313023126659
5,2.800511762702361,4.261178749734002,5.654667828328001,3.6669915352262743,1.7771500750145466,3.8964796834290256,3.343758679271835,1.2728129909171686,1.0133814618051187
6,2.713993457404059,4.1815089519417725,5.240217345006008,3.571510763023,1.860642640389861,3.8411639135278266,2.957077657137266,1.1526680281399455,0.953915272434736
7,2.503066032865257,3.931990628055196,4.740609108126004,3.675194525794432,1.572633156690701,3.8818925962933872,2.877006893136208,1.3522234465845706,0.8198686287120134
8,2.267540823563379,3.6337790921201916,4.2344873886792405,4.269936817111836,1.2901480787496655,4.389753551042081,3.747597722263774,2.197604825378408,0.7077327846399527
9,1.9506668203106357,3.313449283593697,3.4240412893077425,4.9333600480930695,1.267196166166952,4.578272458734507,3.9609112419853405,2.8278356451802154,0.6529278736665856
10,1.7271280603967687,3.3189513414522755,2.626139674879636,5.079485370760619,1.1630297936761935,4.583838584088899,3.7681516014158287,2.849232178011257,0.7251079092036925
11,1.7235491679254684,3.210065616430989,2.1385934427528914,5.010957281852719,1.1908796330135263,4.594049545083843,3.598537416065374,2.69602551727353,0.8110205733116651
12,1.7387168550657466,3.223435617027337,1.9490993480791852,4.995060803236166,1.3800762920700043,4.643914350844883,3.6098867319449877,2.566024425670343,0.8670675614626743
13,1.8313135967835603,3.4670117184266487,1.9710521967301167,5.17975546664965,1.6627891805577668,4.727252682875072,3.803182560666291,2.552862127048334,0.9138199046663295
14,2.0569542459266033,3.8725133826039513,2.093240304880633,5.599330791673108,1.9939687628616232,4.814660044474677,4.161981798907636,2.7264672316220686,0.9574182091941535
15,2.327189031418411,4.358840276723787,2.2530618678613203,6.171553071617063,2.3129604809156055,4.868094847876807,4.614345869636823,3.0083649921569964,0.9828040337575703
16,2.5768593871544843,4.8574367598682535,2.3771798967723603,6.77246034342358,2.5772776677551947,4.850091311385716,4.938739701471464,3.1056786691728164,0.9980299461262843
17,2.819428765764958,5.298811841283492,2.427960936783582,7.1604974624738125,2.8192124683788897,4.680458842826798,5.084046690607312,3.145851751222936,1.0282724320135443
18,3.2016317585732166,5.78095717143081,2.5355540191826567,7.034446539084858,3.04491576754831,4.417008371742877,5.5146951411888905,3.6085907615455954,1.1233820496054596
19,3.9242271908742024,6.363680119232955,2.835777317491283,6.000054523465397,3.050383220669749,4.2503317076824985,5.090212854352928,3.5665462626297866,1.2315683673710551
20,4.748338192162756,6.335894727047128,3.3447939180788295,4.9755468567293075,2.8734313784998293,4.138663716952043,4.1385682496126845,3.055337555485785,1.2961145128387952
21,4.9002422948335775,5.654519881840653,4.113264240908984,4.320938019339946,2.5009041819650863,4.065037313988476,3.4979127729122603,2.49123013160498,1.314131609876393
22,4.509347706023586,4.9828286584652774,5.013451655644731,3.9261754670288633,2.109411757415352,4.0121399295860805,3.3049744029588197,2.080890793521608,1.3061627776467615
23,3.965640089470697,4.4852775663139415,5.82438023520636,3.715343324351624,1.8386589226307373,3.982773819957754,3.3489418314058317,1.7540790282101473,1.2798837739893039
