,MUL,BCS,TAM,OAX,Other wind
0,3.601936398539858,4.258721659881058,2.6951164060968615,16.24393899783703,6.11888542370023
1,3.5498878671126888,4.449342436097344,2.6853238196202502,16.17650071805581,5.945616019527642
2,3.584977291089554,4.539277575044402,2.691637958390982,16.213773397277897,5.85996700616151
3,3.622221739771357,4.360610711141928,2.6971959128768295,16.151389040104185,5.690037536831536
4,3.6477540976720033,4.0422675966523265,2.7126598814819767,16.092163384557733,5.518548183510873
5,3.628265178613966,3.761069860694277,2.721204763889082,16.0312004431167,5.376356775792797
6,3.5604287488154753,3.485407829095598,2.650350296491865,15.803615990740669,5.110954656300685
7,3.347971422063085,3.1531051123089022,2.7272920473750157,15.971185112164237,4.611627262729798
8,3.0940532939477126,2.8164701051516783,3.1686390046475936,18.06066623981552,4.616527845022175
9,2.8213021238586395,2.277420864666025,3.6609527826526467,18.836285424843922,4.595301724574865
10,2.8259869601699257,1.7467152945174707,3.769389608958952,18.85918601165284,4.594340316656485
11,2.7332740495554297,1.4224353376724317,3.7185362158684723,18.90119674332068,4.755721100897601
12,2.7446582017931282,1.2963977789882977,3.7067397410410288,19.10635441413176,5.022002173786313
13,2.952055905327479,1.3109992020821446,3.8437981424901912,19.449231475971107,5.425857673865542
14,3.2973283415280448,1.3922697602898102,4.155157021368472,19.80884965644444,5.968144155598235
15,3.7114210231531626,1.4985713295195553,4.579792305968625,20.02869528983045,6.532095322842161
16,4.1359608897529725,1.5811255293205555,5.0257141781593795,19.95462373662751,6.961182350506395
17,4.5117784587086955,1.6149013486761563,5.313669153452308,19.256708611677332,7.288655604251344
18,4.922310664735525,1.68646436735505,5.220129157539137,18.17280014764969,7.8671987478294545
19,5.418481678547176,1.8861508623052137,4.452526490995411,17.487046023970706,8.006293482231467
20,5.394823255171466,2.2247113318483454,3.6922588120051025,17.027612872017198,7.757074492846471
21,4.814653126283927,2.7358413677374505,3.2064860280550582,16.72469338578685,7.26193988445148
22,4.242728309305654,3.334579942190895,2.913540236488675,16.507058843541273,6.765507814964699
23,3.819078561604594,3.873950093074949,2.757085708158381,16.386238506231063,6.364819034167464
