,SON,MUL,BCS,TAM,PUE,OAX,CHIA,YUC,Other wind
0,3.4702759057527097,4.2302570632478504,6.40287397863533,3.6318359522766195,1.6472411101348174,3.9481870350985284,3.4798611470553356,1.5155357629950275,1.277078715954462
1,3.1764090700327845,4.169129202192143,6.689467211369681,3.6186398366844688,1.546264085335562,3.9317957557457945,3.5603787354861782,1.366882882846145,1.2558238433269515
2,3.0276862059471936,4.210339614371017,6.824682284557899,3.627148528977476,1.5513328699983482,3.940855104521541,3.6356238070275437,1.266886841352789,1.2235158786961344
3,2.9360551976316662,4.254080973092249,6.55606143889317,3.6346382162054516,1.5883520838277416,3.925692211443492,3.5840603791423087,1.2291466011135601,1.153122196796491
4,2.882883081212983,4.284067187561524,6.077441090623008,3.655476869785332,1.6720724597188512,3.9112970597871075,3.478073853194494,1.2446169805835294,1.0743130925761912
5,2.8005117470173695,4.2611786275262595,5.6546678243208675,3.666991627020186,1.7771500743576856,3.8964796503488084,3.343758719552373,1.2728129947787856,1.013381527315711
6,2.7139934422036363,4.1815088320189115,5.2402173412925706,3.5715108524267922,1.860642639702139,3.841163880917228,2.957077692759666,1.1526680316370523,0.953915334101119
7,2.503066018846188,3.931990515288353,4.740609104766609,3.6751946177936876,1.5726331561094284,3.881892563337017,2.8770069277940316,1.3522234506871438,0.8198686817128892
8,2.2675408108634305,3.6337789879058526,4.234487385678503,4.269936923998963,1.2901480782728125,4.3897535137740915,3.7475977674091427,2.1976048320457986,0.7077328303917158
9,1.9506668093854254,3.3134491885662003,3.4240412868813235,4.933360171587328,1.2671961656985606,4.578272419866027,3.960911289700388,2.82783565375966,0.6529279158754501
10,1.7271280507235436,3.318951246266978,2.6261396730186544,5.079485497912752,1.163029793246301,4.583838545173163,3.768151646808788,2.849232186655613,0.7251079560786615
11,1.723549158272293,3.2100655243684617,2.138593441237404,5.010957407289421,1.1908796325733406,4.594049506081416,3.5985374594150796,2.696025525453062,0.8110206257405054
12,1.7387168453276136,3.223435524581367,1.9490993466979747,4.995060928274943,1.3800762915598912,4.643914311419113,3.6098867754314066,2.566024433455455,0.8670676175147151
13,1.8313135865268066,3.4670116189950826,1.9710521953333464,5.179755596311793,1.6627891799431493,4.72725264274178,3.8031826064812453,2.5528621347935174,0.9138199637407305
14,2.0569542344060876,3.8725132715428696,2.0932403033972684,5.599330931838262,1.9939687621245872,4.814660003599317,4.16198184904486,2.7264672398939602,0.9574182710870164
15,2.327189018384377,4.358840151715179,2.2530618662647024,6.1715532261063615,2.312960480060662,4.868094806547801,4.614345925223443,3.0083650012841394,0.9828040972915584
16,2.576859372722112,4.857436620560235,2.3771798950877896,6.772460512955081,2.5772776668025608,4.850091270209554,4.938739760965888,3.105678678595203,0.9980300106445934
17,2.8194287499740183,5.29881168931713,2.427960935063028,7.160497641718845,2.8192124673368304,4.680458803090776,5.084046751852172,3.1458517607671985,1.0282724984868972
18,3.201631740641655,5.780957005636847,2.535554017385862,7.034446715174524,3.0449157664228177,4.417008334243491,5.514695207621548,3.608590772493771,1.123382122227166
19,3.924227168895554,6.363679936726886,2.8357773154817356,6.000054673661662,3.0503832195422342,4.25033167159816,5.090212915672071,3.5665462734504025,1.2315684469864283
20,4.748338165568459,6.335894545337926,3.344793915708574,4.9755469812796,2.8734313774377225,4.138663681815745,4.138568299467861,3.0553375647554346,1.2961145966267333
21,4.900242267388504,5.654519719672821,4.113264237994156,4.320938127503754,2.5009041810406774,4.065037279477256,3.497912815049795,2.4912301391631715,1.3141316948290545
22,4.50934768076782,4.982828515561099,5.013451652091985,3.9261755653107873,2.1094117566356587,4.012139895523945,3.304974442772128,2.0808907998348656,1.3061628620842836
23,3.965640067260102,4.485277437679194,5.824380231078957,3.715343417355898,1.8386589219511242,3.9827737861449286,3.348941871748807,1.754079033531883,1.2798838567280104
