fecha,SON,MUL,BCS,CHIH,JAL,GUE,TAM,PUE,VER,OAX,CHIA,YUC
2019-09-11 16:00:00,4.596615572935793e-11,4.6193708245667883e-10,3.6039662222401023e-09,4.287384073102039e-14,0.0,0.0,0.12374606088250058,7.189385358734855e-14,8.467237910829695e-11,0.0,2.2590685711352445e-12,1.8904743294023412
2019-09-11 17:00:00,3.2346554031770396e-11,3.242682212577404e-10,2.2913147318121337e-09,2.1683321749021805e-14,0.0,0.0,0.05130934231713438,2.5079251251400657e-14,3.884054087536558e-11,0.0,6.073910780882498e-13,0.3828808768409805
2019-09-11 18:00:00,1.5747664462835586e-11,1.5591413196024347e-10,8.699228812303695e-10,6.734971149317379e-15,0.0,0.0,0.003018196606890258,5.573166944755702e-16,1.942027043768279e-12,0.0,0.0,0.0
2019-09-11 19:00:00,1.6173277015885196e-12,1.0781296358953006e-11,1.5534337164828025e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-11 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-11 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-11 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-11 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-12 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-12 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-12 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-12 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-12 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-12 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-12 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.001006065535630086,2.786583472377851e-15,2.3304324525219347e-12,0.0,1.8115172504386397e-13,1.0050623017075737
2019-09-12 07:00:00,2.5536753182976626e-13,4.146652445751157e-12,1.4757620306586625e-10,5.092295259239969e-15,0.0,0.0,0.046279014638983956,7.523775375420198e-14,4.272459496290214e-11,0.0,1.1934701885242803e-12,3.2784175079508957
2019-09-12 08:00:00,1.1832028974779172e-11,1.2854622581828583e-10,1.4757620306586624e-09,2.250465969406051e-14,0.0,0.0,0.1227399953468705,1.833571924824626e-13,1.1341437935606748e-10,0.0,2.7172758756579595e-12,5.3364022209711655
2019-09-12 09:00:00,2.936726616042312e-11,3.043642895181349e-10,2.951524061317325e-09,3.909568618384234e-14,0.0,0.0,0.2142919590892083,2.702985968206515e-13,1.7012156903410124e-10,0.0,4.145177708356652e-12,7.537967262806803
2019-09-12 10:00:00,4.4093460495939646e-11,4.453504726736742e-10,4.132133685844255e-09,4.615919251117521e-14,0.0,0.0,0.33501982336481867,3.2101441601792845e-13,2.0274762336940832e-10,0.0,5.2640560100981646e-12,9.428441592209145
