fecha,SON,MUL,BCS,CHIH,JAL,GUE,TAM,PUE,VER,OAX,CHIA,YUC
2019-01-01 00:00:00,0.01925913641687835,1.6773375548758682,1.701451469004262,5.633034335018787,6.21527437950933e-10,3.677494745650335e-08,0.029741572291624538,1.2275135357925278,0.24429591128829642,15.571912387309355,3.1451300225244476,0.21862051956184572
2019-01-01 01:00:00,0.18296179596034434,1.380087861606727,2.4978755608785974,5.157159135793232,1.5538185948773324e-09,3.677494745650335e-08,0.029741572291624538,1.3848870660223391,0.27718189934633636,17.59049362270131,2.3411118212775963,0.20931751872942675
2019-01-01 02:00:00,0.6740697745907424,1.1253024102331772,2.8598865117305676,5.223560326382843,3.7291646277055976e-09,4.1018210624561436e-08,0.11896628916649815,1.5842268709801,0.40402785328449026,20.137750895934012,1.8326885469597345,0.26048402330773107
2019-01-01 03:00:00,1.7333222775190515,1.0403739264419942,2.7512832264749765,5.389563302856875,6.836801817460262e-09,4.8090315904658233e-08,0.3420280813536822,1.9199570688036973,0.5402698038106556,22.348577963268056,1.6080364024937026,0.34421103079950177
2019-01-01 04:00:00,3.4570149868296642,0.849284837911832,2.316870085452612,5.367429572660337,9.012147850288529e-09,5.869847382480343e-08,0.5056067289576172,2.266178835309282,0.5261758089286385,23.88654461880478,1.6789791849566598,0.38142303412917766
2019-01-01 05:00:00,4.795524967802709,0.6157315074860782,1.122233947641109,4.902621238533051,1.0876730164141329e-08,7.425710544101638e-08,0.4609943705201803,2.486501777631018,0.35234987205042756,26.14543314412435,1.6435077937251814,0.4744530424533673
2019-01-01 06:00:00,5.459965174185013,0.424642418955916,0.39821204593716764,4.393545444012688,8.390620412337594e-09,1.0042389497737452e-07,0.2825449367704331,2.612400601814867,0.11744995735014252,27.82758417361764,1.6316839966480219,0.586089052442395
2019-01-01 07:00:00,5.440706037768134,0.23355333042575377,0.2896087606815765,3.6963329428217584,5.904510660533863e-09,1.2305463187368428e-07,0.2528033644788086,2.5284680523589675,0.009395996588011402,27.010539387863762,1.0523179398672022,0.16280251456733194
2019-01-01 08:00:00,5.007375468388371,0.0849284837911832,0.2896087606815765,2.4236434565208533,3.7291646277055976e-09,5.657684224077439e-08,0.19332021989555948,1.4793111841602256,-0.0,35.80578619921441,3.050539645907171,0.15815101415112245
2019-01-01 09:00:00,3.4859036914549817,0.0849284837911832,0.21720657051118236,0.3541396831445996,3.107637189754665e-10,7.779315808106477e-09,0.059483144583249076,1.710125695163949,-0.0,36.95926119086696,5.710893988268076,0.9861180882364105
2019-01-01 10:00:00,2.2822076654000845,0.2760175723213454,0.03620109508519706,0.04426746039307495,-0.0,7.072105280096798e-10,0.014870786145812269,1.3848870660223391,-0.0,36.95926119086696,6.538559783669247,1.4652226311059873
2019-01-01 11:00:00,4.400712671256704,0.5095709027470992,-0.0,0.3209390878497934,-0.0,3.5360526400483994e-09,-0.0,1.059648436880729,0.014093994882017102,36.046093489142024,6.574031174900726,1.395450124862845
2019-01-01 12:00:00,4.275528284546994,0.5944993865382824,-0.0,0.4426746039307495,-0.0,1.3437000032183917e-08,-0.0,1.028173730834767,0.07986597099809692,34.02751225375007,6.337555233357534,1.3396321198683312
2019-01-01 13:00:00,4.111825625003528,0.7218921122250572,-0.0,0.675078770994393,-0.0,3.182447376043559e-08,-0.0,1.080631574244704,0.14093994882017102,31.81668518641603,6.077431697660023,1.3070716169548648
2019-01-01 14:00:00,4.09256648858665,1.3588557406589312,-0.0,1.1730877004164861,3.107637189754665e-10,4.738310537664855e-08,-0.0,1.059648436880729,0.22550391811227363,30.278718530879303,6.041960306428544,1.26055661279277
2019-01-01 15:00:00,4.3718239666313865,1.6773375548758682,-0.0,1.6600297647403106,6.21527437950933e-10,4.243263168058079e-08,0.19332021989555948,1.059648436880729,0.36174586863843894,29.701981035053027,6.219317262585938,1.1489206028037424
2019-01-01 16:00:00,4.7377475585520745,1.5499448291890932,0.03620109508519706,1.682163494936848,6.21527437950933e-10,3.394610534446463e-08,0.5650898735408661,1.3534123599763768,0.455705834518553,29.990349782966167,6.1129030888915015,0.8047095720042405
2019-01-01 17:00:00,4.545156194383291,2.0807478528839884,0.21720657051118236,2.5453789726018097,9.322911569263994e-10,3.111726323242591e-08,1.2045336778107938,2.119296873761458,0.4369138413425302,28.067891463545255,6.775035725212438,0.8884365794960113
2019-01-01 18:00:00,4.91107978630398,3.9916387381856104,0.25340766559637945,3.076588497318709,1.243054875901866e-09,1.9801894784271035e-08,2.1413932049969664,2.874689818864552,0.25838990617031354,25.280326900384942,6.952392681369831,1.1535721032199517
2019-01-01 19:00:00,6.172553221609512,5.881297502539437,0.2896087606815765,2.6228470282896907,4.039928346681064e-09,5.657684224077439e-09,2.7659662231210818,2.9481307996384643,0.06577197611607981,25.280326900384942,6.644973957363683,0.8558760765825449
2019-01-01 20:00:00,6.692549904865227,6.794278703294656,0.579217521363153,1.92563452709876,2.7968734707791984e-09,7.072105280096798e-10,3.390539241245197,2.9900970743664135,0.009395996588011402,26.14543314412435,6.089255494737182,0.7256340649286794
2019-01-01 21:00:00,6.663661200239909,6.857975066138043,0.7964240918743353,1.516160518462817,9.322911569263994e-10,-0.0,3.509505530411695,2.371094522129156,0.009395996588011402,26.722170639950622,4.859580598712586,0.6605130591017465
2019-01-01 22:00:00,6.5481063817386405,6.284707800547556,0.61541861644835,0.8964160729597678,3.107637189754665e-10,-0.0,3.1526066629122007,2.318636678719219,0.06577197611607981,26.049310228153306,3.665377093919469,0.5163165461992526
