,SON,MUL,TAM,YUC,Other
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.002358839592549555,0.0
6,0.0,0.0,0.1213077917756586,0.08788092786002621,6.576973410498933e-14
7,0.13724344694295637,0.0700421848981111,1.2162933865676038,0.3785088363788718,8.280992392375738e-13
8,1.037107091575785,0.6073802793882673,3.342327517372415,0.6618479305567393,2.888487880622755e-12
9,2.997861993814308,1.6652445015857142,5.2785812942469486,0.8770731726601458,5.264967438256065e-12
10,4.870351213230724,2.616893941861826,6.685095046266338,1.0152021015206627,7.186340909409153e-12
11,6.214185957088521,3.2982929352776678,7.493091587914921,1.0755129122229696,8.456535337231515e-12
12,7.002381474052529,3.710239858337996,7.733642502019164,1.0596143333691856,9.028907014309044e-12
13,7.266620622328025,3.847990512197236,7.470921776638957,0.9616375720530475,8.92598969686315e-12
14,7.025607739891615,3.7223076262752857,6.639875400671394,0.7857624920325524,8.183277868524672e-12
15,6.307913189147125,3.339532152427235,5.248017417022222,0.5409196600050938,6.839795153829018e-12
16,5.130097796811681,2.709444202836358,3.4239665781321498,0.27274790440732,4.9700446685571225e-12
17,3.447881905634537,1.8182717827955945,1.3904364079643012,0.047875008370385774,2.7208932622052054e-12
18,1.5132014965250993,0.7785859794756932,0.17691847868620744,0.00029249610947614484,7.831966116164265e-13
19,0.2658247593441558,0.10404995332189808,0.0,0.0,6.59016651806566e-14
20,0.008691497709695142,0.0004606018296675435,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0
